@relation jaccard_2013

@attribute conf_1 numeric
@attribute conf_2 numeric
@attribute conf_3 numeric
@attribute conf_4 numeric
@attribute conf_5 numeric
@attribute conf_6 numeric
@attribute conf_7 numeric
@attribute conf_8 numeric
@attribute conf_9 numeric
@attribute conf_10 numeric
@attribute conf_11 numeric
@attribute conf_12 numeric
@attribute conf_13 numeric
@attribute conf_14 numeric
@attribute conf_15 numeric
@attribute conf_16 numeric
@attribute conf_17 numeric
@attribute conf_18 numeric
@attribute conf_19 numeric
@attribute conf_20 numeric
@attribute conf_21 numeric
@attribute conf_22 numeric
@attribute conf_23 numeric
@attribute conf_24 numeric
@attribute conf_25 numeric
@attribute conf_26 numeric
@attribute conf_27 numeric
@attribute conf_28 numeric
@attribute conf_29 numeric
@attribute conf_30 numeric
@attribute rel {per:cities_of_residence,per:employee_or_member_of,per:age,org:date_founded,per:schools_attended,org:alternate_names,org:top_members_employees,org:member_of,org:shareholders,org:parents,org:subsidiaries,per:siblings,per:spouse,per:title,per:countries_of_residence,per:country_of_birth,per:alternate_names,per:parents,org:founded_by,org:country_of_headquarters,org:city_of_headquarters,org:date_dissolved,per:statesorprovinces_of_residence,per:stateorprovince_of_death,per:city_of_death,per:city_of_birth,per:stateorprovince_of_birth,org:members,per:children,per:cause_of_death,org:stateorprovince_of_headquarters,per:charges,org:website,per:religion,per:country_of_death,per:other_family,per:date_of_death,org:number_of_employees_members,per:date_of_birth,per:origin,org:political_religious_affiliation,gpe:births_in_country,gpe:residents_of_city,gpe:deaths_in_city,gpe:births_in_stateorprovince,gpe:residents_of_stateorprovince,gpe:residents_of_country,gpe:deaths_in_stateorprovince,gpe:deaths_in_country,per:top_member_employee_of,org:students,per:organizations_founded,gpe:births_in_city,gpe:headquarters_in_country,org:holds_shares_in,gpe:employees_or_members,gpe:member_of,org:employees_or_members,gpe:headquarters_in_city,gpe:subsidiaries,gpe:holds_shares_in,gpe:organizations_founded,gpe:headquarters_in_stateorprovince,org:organizations_founded,per:holds_shares_in}
@attribute target {w,c}

@data
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8589448617270433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per:other_family,w
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per:employee_or_member_of,w
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per:cities_of_residence,w
0.0,0.0,0.0,0.4047,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per:schools_attended,c
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812799367309807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,org:member_of,w
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.0,0.875,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,org:alternate_names,w
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8465218354212714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,org:top_members_employees,w
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per:employee_or_member_of,w
